model,platform,full_tokens_per_s,no_read_slicing_tokens_per_s,no_tiling_tokens_per_s,speedup_vs_no_read_slicing,speedup_vs_no_tiling
opt_6_7b,cam_llm_s,3.664621,2.125126,2.731884,1.724425,1.341426
opt_6_7b,cam_llm_m,10.076709,5.637840,7.596898,1.787335,1.326424
opt_6_7b,cam_llm_l,31.113179,16.639233,24.360335,1.869869,1.277207
opt_13b,cam_llm_s,1.877732,1.086593,1.398021,1.728092,1.343136
opt_13b,cam_llm_m,5.263514,2.927135,3.955274,1.798179,1.330758
opt_13b,cam_llm_l,16.035697,8.365393,12.417502,1.916909,1.291379
opt_30b,cam_llm_s,0.799188,0.461335,0.594151,1.732337,1.345092
opt_30b,cam_llm_m,2.315939,1.279062,1.733777,1.810654,1.335777
opt_30b,cam_llm_l,6.745747,3.419110,5.155049,1.972954,1.308571
opt_66b,cam_llm_s,0.350342,0.201933,0.260223,1.734937,1.346311
opt_66b,cam_llm_m,1.062302,0.584287,0.793464,1.818117,1.338816
opt_66b,cam_llm_l,2.843882,1.414432,2.154361,2.010618,1.320059
llama2_7b,cam_llm_s,3.643047,2.112534,2.715699,1.724491,1.341477
llama2_7b,cam_llm_m,10.016988,5.605634,7.551078,1.786950,1.326564
llama2_7b,cam_llm_l,30.873976,16.545533,24.162462,1.866001,1.277766
llama2_13b,cam_llm_s,1.877732,1.086593,1.398021,1.728092,1.343136
llama2_13b,cam_llm_m,5.263514,2.927135,3.955274,1.798179,1.330758
llama2_13b,cam_llm_l,16.035697,8.365393,12.417502,1.916909,1.291379
llama2_70b,cam_llm_s,0.337140,0.193582,0.249837,1.741587,1.349439
llama2_70b,cam_llm_m,1.044370,0.567348,0.774604,1.840791,1.348263
llama2_70b,cam_llm_l,2.913724,1.393465,2.166089,2.090991,1.345155
