context_tokens,mean_abs_relative_error_pct,rmse_relative_error_pct,max_abs_relative_error_pct,mean_relative_error_pct,passes_reproduction_guardrail,best_mean_abs_error,best_rmse,best_max_error,default_context,guardrail_window_min,guardrail_window_max,interpretation
1,10.624489,14.868672,37.557033,6.970629,0,0,0,0,0,977,1040,outside_guardrail
2,10.617157,14.858652,37.529370,6.961739,0,0,0,0,0,977,1040,outside_guardrail
3,10.609827,14.848641,37.501718,6.952851,0,0,0,0,0,977,1040,outside_guardrail
4,10.602501,14.838639,37.474076,6.943966,0,0,0,0,0,977,1040,outside_guardrail
5,10.595177,14.828646,37.446446,6.935084,0,0,0,0,0,977,1040,outside_guardrail
6,10.587856,14.818662,37.418827,6.926206,0,0,0,0,0,977,1040,outside_guardrail
7,10.580538,14.808688,37.391219,6.917330,0,0,0,0,0,977,1040,outside_guardrail
8,10.573222,14.798723,37.363623,6.908457,0,0,0,0,0,977,1040,outside_guardrail
9,10.565910,14.788767,37.336037,6.899587,0,0,0,0,0,977,1040,outside_guardrail
10,10.558600,14.778820,37.308462,6.890720,0,0,0,0,0,977,1040,outside_guardrail
11,10.551293,14.768883,37.280899,6.881857,0,0,0,0,0,977,1040,outside_guardrail
12,10.543989,14.758955,37.253346,6.872996,0,0,0,0,0,977,1040,outside_guardrail
13,10.536688,14.749036,37.225805,6.864138,0,0,0,0,0,977,1040,outside_guardrail
14,10.529390,14.739126,37.198274,6.855283,0,0,0,0,0,977,1040,outside_guardrail
15,10.522094,14.729225,37.170755,6.846431,0,0,0,0,0,977,1040,outside_guardrail
16,10.514802,14.719334,37.143247,6.837582,0,0,0,0,0,977,1040,outside_guardrail
17,10.507512,14.709452,37.115749,6.828736,0,0,0,0,0,977,1040,outside_guardrail
18,10.500225,14.699579,37.088263,6.819893,0,0,0,0,0,977,1040,outside_guardrail
19,10.492940,14.689715,37.060788,6.811053,0,0,0,0,0,977,1040,outside_guardrail
20,10.485659,14.679861,37.033324,6.802216,0,0,0,0,0,977,1040,outside_guardrail
21,10.478380,14.670016,37.005870,6.793382,0,0,0,0,0,977,1040,outside_guardrail
22,10.471105,14.660180,36.978428,6.784551,0,0,0,0,0,977,1040,outside_guardrail
23,10.463831,14.650353,36.950997,6.775722,0,0,0,0,0,977,1040,outside_guardrail
24,10.456561,14.640535,36.923577,6.766897,0,0,0,0,0,977,1040,outside_guardrail
25,10.449294,14.630727,36.896167,6.758075,0,0,0,0,0,977,1040,outside_guardrail
26,10.442029,14.620928,36.868769,6.749255,0,0,0,0,0,977,1040,outside_guardrail
27,10.434767,14.611138,36.841382,6.740439,0,0,0,0,0,977,1040,outside_guardrail
28,10.427508,14.601358,36.814005,6.731625,0,0,0,0,0,977,1040,outside_guardrail
29,10.420252,14.591586,36.786640,6.722815,0,0,0,0,0,977,1040,outside_guardrail
30,10.412999,14.581824,36.759285,6.714007,0,0,0,0,0,977,1040,outside_guardrail
31,10.405748,14.572072,36.731942,6.705203,0,0,0,0,0,977,1040,outside_guardrail
32,10.398500,14.562328,36.704609,6.696401,0,0,0,0,0,977,1040,outside_guardrail
33,10.391255,14.552594,36.677287,6.687602,0,0,0,0,0,977,1040,outside_guardrail
34,10.384013,14.542869,36.649977,6.678807,0,0,0,0,0,977,1040,outside_guardrail
35,10.376773,14.533153,36.622677,6.670014,0,0,0,0,0,977,1040,outside_guardrail
36,10.369536,14.523446,36.595388,6.661224,0,0,0,0,0,977,1040,outside_guardrail
37,10.362302,14.513749,36.568110,6.652437,0,0,0,0,0,977,1040,outside_guardrail
38,10.355071,14.504061,36.540843,6.643653,0,0,0,0,0,977,1040,outside_guardrail
39,10.347843,14.494382,36.513586,6.634872,0,0,0,0,0,977,1040,outside_guardrail
40,10.340617,14.484712,36.486341,6.626093,0,0,0,0,0,977,1040,outside_guardrail
41,10.333394,14.475052,36.459106,6.617318,0,0,0,0,0,977,1040,outside_guardrail
42,10.326174,14.465401,36.431883,6.608546,0,0,0,0,0,977,1040,outside_guardrail
43,10.318957,14.455759,36.404670,6.599776,0,0,0,0,0,977,1040,outside_guardrail
44,10.311742,14.446126,36.377468,6.591010,0,0,0,0,0,977,1040,outside_guardrail
45,10.304530,14.436503,36.350277,6.582246,0,0,0,0,0,977,1040,outside_guardrail
46,10.297321,14.426889,36.323097,6.573486,0,0,0,0,0,977,1040,outside_guardrail
47,10.290115,14.417284,36.295927,6.564728,0,0,0,0,0,977,1040,outside_guardrail
48,10.282912,14.407688,36.268769,6.555973,0,0,0,0,0,977,1040,outside_guardrail
49,10.275711,14.398102,36.241621,6.547221,0,0,0,0,0,977,1040,outside_guardrail
50,10.268513,14.388525,36.214484,6.538472,0,0,0,0,0,977,1040,outside_guardrail
51,10.262060,14.378957,36.187358,6.529726,0,0,0,0,0,977,1040,outside_guardrail
52,10.256137,14.369399,36.160242,6.520983,0,0,0,0,0,977,1040,outside_guardrail
53,10.250217,14.359849,36.133138,6.512242,0,0,0,0,0,977,1040,outside_guardrail
54,10.244299,14.350309,36.106044,6.503505,0,0,0,0,0,977,1040,outside_guardrail
55,10.238383,14.340779,36.078961,6.494770,0,0,0,0,0,977,1040,outside_guardrail
56,10.232470,14.331257,36.051889,6.486039,0,0,0,0,0,977,1040,outside_guardrail
57,10.226559,14.321745,36.024827,6.477310,0,0,0,0,0,977,1040,outside_guardrail
58,10.220651,14.312242,35.997777,6.468584,0,0,0,0,0,977,1040,outside_guardrail
59,10.214745,14.302749,35.970737,6.459861,0,0,0,0,0,977,1040,outside_guardrail
60,10.208842,14.293264,35.943708,6.451141,0,0,0,0,0,977,1040,outside_guardrail
61,10.202940,14.283789,35.916689,6.442424,0,0,0,0,0,977,1040,outside_guardrail
62,10.197042,14.274324,35.889681,6.433710,0,0,0,0,0,977,1040,outside_guardrail
