model,platform,read_compute_requests,npu_read_requests,npu_read_slices,total_controller_commands,read_compute_path_ms,read_slice_path_ms,controller_stage_ms,balance_delta_pct,read_compute_channel_rate_pct
opt_6_7b,cam_llm_s,4539.430131,8239.805709,32959.222836,37498.652967,272.868052,272.868052,266.194869,0.000000,1.706667
opt_6_7b,cam_llm_m,1137.580599,2057.228361,8228.913444,9366.494043,100.404843,100.404843,92.554078,0.000000,2.413591
opt_6_7b,cam_llm_l,285.379422,513.322818,2053.291270,2338.670693,31.420149,31.420149,25.456049,0.000000,3.413333
opt_13b,cam_llm_s,8807.849507,15987.682719,63950.730876,72758.580384,535.213522,535.213522,522.112438,0.000000,1.706667
opt_13b,cam_llm_m,2207.245938,3991.637118,15966.548474,18173.794412,194.815368,194.815368,179.542343,0.000000,2.413591
opt_13b,cam_llm_l,553.721267,995.999497,3983.997987,4537.719254,64.173715,64.173715,51.916069,0.000000,3.413333
opt_30b,cam_llm_s,20325.806556,36894.652429,147578.609714,167904.416270,1264.750048,1264.750048,1233.723285,0.000000,1.706667
opt_30b,cam_llm_m,5093.644473,9211.470273,36845.881093,41939.525566,449.573926,449.573926,414.243055,0.000000,2.413591
opt_30b,cam_llm_l,1277.818310,2298.460377,9193.841508,10471.659818,161.721470,161.721470,130.694295,0.000000,3.413333
opt_66b,cam_llm_s,44716.774423,81168.235343,324672.941372,369389.715795,2895.322272,2895.322272,2824.275545,0.000000,1.706667
opt_66b,cam_llm_m,11206.017840,20265.234601,81060.938405,92266.956245,989.062637,989.062637,911.270785,0.000000,2.413591
opt_66b,cam_llm_l,2811.200281,5056.612829,20226.451318,23037.651599,398.186339,398.186339,321.550976,0.000000,3.413333
llama2_7b,cam_llm_s,4566.531206,8288.998579,33155.994316,37722.525522,274.517892,274.517892,267.810854,0.000000,1.706667
llama2_7b,cam_llm_m,1144.372125,2069.510321,8278.041286,9422.413411,101.004275,101.004275,93.145735,0.000000,2.413591
llama2_7b,cam_llm_l,287.083180,516.387431,2065.549725,2352.632906,31.620353,31.620353,25.705066,0.000000,3.413333
llama2_13b,cam_llm_s,8807.849507,15987.682719,63950.730876,72758.580384,535.213522,535.213522,522.112438,0.000000,1.706667
llama2_13b,cam_llm_m,2207.245938,3991.637118,15966.548474,18173.794412,194.815368,194.815368,179.542343,0.000000,2.413591
llama2_13b,cam_llm_l,553.721267,995.999497,3983.997987,4537.719254,64.173715,64.173715,51.916069,0.000000,3.413333
llama2_70b,cam_llm_s,46749.355078,84857.700586,339430.802343,386180.157422,3035.888932,3035.888932,2961.372750,0.000000,1.706667
llama2_70b,cam_llm_m,11715.382287,21186.381629,84745.526515,96460.908802,1034.020029,1034.020029,952.763916,0.000000,2.413591
llama2_70b,cam_llm_l,2938.982112,5286.458867,21145.835469,24084.817580,419.343488,419.343488,338.452042,0.000000,3.413333
