model,platform,cycle_ns,logical_read_compute_requests,logical_read_slice_commands,command_multiplier,cycle_read_compute_commands,cycle_read_slice_commands,cycle_total_commands,last_cycle,raw_weight_stage_ms,calibrated_weight_stage_ms,effective_pipeline_efficiency,command_address_cycles,read_compute_vector_cycles,read_slice_data_cycles,array_read_cycles,ifc_compute_cycles,issue_width,issue_fifo_depth,module_clock_ns,stage_issue_events,dispatch_rounds,tpot_ms
opt_6_7b,cam_llm_s,1.000000,4539.430131,32959.222836,4,18158,131837,149995,134041246,134.041246,266.304374,0.503339,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,336306,100396,272.989046
opt_6_7b,cam_llm_m,1.000000,1137.580599,8228.913444,8,9101,65831,74932,31850671,31.850671,92.589160,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,168066,65202,99.273832
opt_6_7b,cam_llm_l,1.000000,285.379422,2053.291270,16,4566,32853,37419,7057069,7.057069,25.464742,0.277131,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,83970,43951,32.149414
opt_13b,cam_llm_s,1.000000,8807.849507,63950.730876,4,35231,255803,291034,260074032,260.074032,522.327234,0.497914,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,652530,195234,532.772034
opt_13b,cam_llm_m,1.000000,2207.245938,15966.548474,8,17658,127732,145390,61785972,61.785972,179.610384,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,326096,135019,190.055184
opt_13b,cam_llm_l,1.000000,553.721267,3983.997987,16,8860,63744,72604,13672781,13.672781,51.934046,0.263272,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,162928,97221,62.378846
opt_30b,cam_llm_s,1.000000,20325.806556,147578.609714,4,81303,590314,671617,600137799,600.137799,1234.230818,0.486244,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,1505840,452797,1251.778082
opt_30b,cam_llm_m,1.000000,5093.644473,36845.881093,8,40749,294767,335516,142553620,142.553620,414.400058,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,752530,350662,431.947322
opt_30b,cam_llm_l,1.000000,1277.818310,9193.841508,16,20445,147101,167546,31519442,31.519442,130.739379,0.241086,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,375982,219622,148.286643
opt_66b,cam_llm_s,1.000000,44716.774423,324672.941372,4,178867,1298692,1477559,1320294323,1320.294323,2825.437382,0.467288,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,3312852,1062163,2855.518406
opt_66b,cam_llm_m,1.000000,11206.017840,81060.938405,8,89648,648488,738136,313595961,313.595961,911.616166,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,1655568,744655,941.697190
opt_66b,cam_llm_l,1.000000,2811.200281,20226.451318,16,44979,323623,368602,69290854,69.290854,321.662036,0.215415,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,827162,552984,351.743060
llama2_7b,cam_llm_s,1.000000,4566.531206,33155.994316,4,18266,132624,150890,134844754,134.844754,267.921009,0.503300,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,338312,106993,274.605681
llama2_7b,cam_llm_m,1.000000,1144.372125,8278.041286,8,9155,66224,75379,32054271,32.054271,93.181020,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,169068,65454,99.865692
llama2_7b,cam_llm_l,1.000000,287.083180,2065.549725,16,4593,33049,37642,7123286,7.123286,25.713943,0.277020,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,84470,43562,32.398615
llama2_13b,cam_llm_s,1.000000,8807.849507,63950.730876,4,35231,255803,291034,260074032,260.074032,522.327234,0.497914,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,652530,195234,532.772034
llama2_13b,cam_llm_m,1.000000,2207.245938,15966.548474,8,17658,127732,145390,61785972,61.785972,179.610384,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,326096,135019,190.055184
llama2_13b,cam_llm_l,1.000000,553.721267,3983.997987,16,8860,63744,72604,13672781,13.672781,51.934046,0.263272,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,162928,97221,62.378846
llama2_70b,cam_llm_s,1.000000,46749.355078,339430.802343,4,186997,1357723,1544720,1380298305,1380.298305,2962.590992,0.465909,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,3463434,1038936,2967.342352
llama2_70b,cam_llm_m,1.000000,11715.382287,84745.526515,8,93723,677964,771687,327875004,327.875004,953.125012,0.344000,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,1730820,833865,957.876372
llama2_70b,cam_llm_l,1.000000,2938.982112,21145.835469,16,47024,338333,385357,72401034,72.401034,338.568893,0.213844,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,864762,570787,343.320253
