model,model_label,platform,platform_label,context_tokens,reference_tokens_per_s,simulated_tokens_per_s,relative_error_pct,weight_bytes,attention_cache_bytes,attention_ops,tpot_ms,weight_stage_ms,attention_cache_ms,attention_compute_ms,tile_height,tile_width,operator_trace_ops,operator_trace_ifc_ops,operator_trace_dram_ops,operator_trace_npu_ops,operator_trace_total_ms,operator_trace_ifc_ms,operator_trace_dram_ms,operator_trace_npu_ms,operator_trace_weight_bytes,operator_trace_dram_bytes,operator_trace_npu_ops_value,operator_trace_dram_bursts,legacy_tpot_ms,operator_trace_delta_pct,alpha_read_compute,effective_pipeline_efficiency,read_compute_requests,npu_read_requests,npu_read_slices,controller_commands,cycle_weight_last_cycle,cycle_read_compute_commands,cycle_read_slice_commands,cycle_total_commands,cycle_command_multiplier,cycle_ns,cycle_weight_raw_ms,cycle_weight_stage_ms,cycle_command_address_cycles,cycle_read_compute_vector_cycles,cycle_read_slice_data_cycles,cycle_array_read_cycles,cycle_ifc_compute_cycles,cycle_issue_width,cycle_issue_fifo_depth,cycle_module_clock_ns,cycle_stage_issue_events,cycle_dispatch_rounds,read_compute_channel_rate_pct,ifc_read_compute_path_ms,npu_weight_read_path_ms,controller_weight_stage_ms,controller_balance_delta_pct,no_read_slicing_tokens_per_s,no_tiling_tokens_per_s,speedup_vs_no_read_slicing,speedup_vs_no_tiling
opt_6_7b,OPT-6.7B,cam_llm_s,Cambricon-LLM-S,1000,3.600000,3.663151,1.754,6700000000.000000,262144000.000000,262144000.000000,272.989046,266.304374,6.553600,0.131072,256.000000,2048.000000,416,128,64,224,272.989046,266.304374,6.553600,0.131072,6700000000.000000,262144000.000000,262144000.000000,4096000,272.989046,0.000000000,0.355219,0.503339,4539.430131,8239.805709,32959.222836,37498.652967,134041246,18158,131837,149995,4,1.000000,134.041246,266.304374,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,336306,100396,1.706667,272.868052,272.868052,266.304374,0.000000,2.125126,2.730781,1.723733,1.341430
opt_6_7b,OPT-6.7B,cam_llm_m,Cambricon-LLM-M,1000,11.000000,10.073148,-8.426,6700000000.000000,262144000.000000,262144000.000000,99.273832,92.589160,6.553600,0.131072,362.038672,5792.618751,416,128,64,224,99.273832,92.589160,6.553600,0.131072,6700000000.000000,262144000.000000,262144000.000000,4096000,99.273832,0.000000000,0.356072,0.344000,1137.580599,2057.228361,8228.913444,9366.494043,31850671,9101,65831,74932,8,1.000000,31.850671,92.589160,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,168066,65202,2.413591,100.404843,100.404843,92.589160,0.000000,5.637840,7.594165,1.786704,1.326433
opt_6_7b,OPT-6.7B,cam_llm_l,Cambricon-LLM-L,1000,36.300000,31.104766,-14.312,6700000000.000000,262144000.000000,262144000.000000,32.149414,25.464742,6.553600,0.131072,512.000000,16384.000000,416,128,64,224,32.149414,25.464742,6.553600,0.131072,6700000000.000000,262144000.000000,262144000.000000,4096000,32.149414,0.000000000,0.357304,0.277131,285.379422,513.322818,2053.291270,2338.670693,7057069,4566,32853,37419,16,1.000000,7.057069,25.464742,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,83970,43951,3.413333,31.420149,31.420149,25.464742,0.000000,16.639233,24.353373,1.869363,1.277226
opt_13b,OPT-13B,cam_llm_s,Cambricon-LLM-S,1000,1.900000,1.876975,-1.212,13000000000.000000,409600000.000000,409600000.000000,532.772034,522.327234,10.240000,0.204800,256.000000,2048.000000,520,160,80,280,532.772034,522.327234,10.240000,0.204800,13000000000.000000,409600000.000000,409600000.000000,6400000,532.772034,0.000000000,0.355219,0.497914,8807.849507,15987.682719,63950.730876,72758.580384,260074032,35231,255803,291034,4,1.000000,260.074032,522.327234,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,652530,195234,1.706667,535.213522,535.213522,522.327234,0.000000,1.086593,1.397455,1.727395,1.343138
opt_13b,OPT-13B,cam_llm_m,Cambricon-LLM-M,1000,4.700000,5.261630,11.950,13000000000.000000,409600000.000000,409600000.000000,190.055184,179.610384,10.240000,0.204800,362.038672,5792.618751,520,160,80,280,190.055184,179.610384,10.240000,0.204800,13000000000.000000,409600000.000000,409600000.000000,6400000,190.055184,0.000000000,0.356072,0.344000,2207.245938,3991.637118,15966.548474,18173.794412,61785972,17658,127732,145390,8,1.000000,61.785972,179.610384,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,326096,135019,2.413591,194.815368,194.815368,179.610384,0.000000,2.927135,3.953838,1.797535,1.330765
opt_13b,OPT-13B,cam_llm_l,Cambricon-LLM-L,1000,14.200000,16.031076,12.895,13000000000.000000,409600000.000000,409600000.000000,62.378846,51.934046,10.240000,0.204800,512.000000,16384.000000,520,160,80,280,62.378846,51.934046,10.240000,0.204800,13000000000.000000,409600000.000000,409600000.000000,6400000,62.378846,0.000000000,0.357304,0.263272,553.721267,995.999497,3983.997987,4537.719254,13672781,8860,63744,72604,16,1.000000,13.672781,51.934046,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,162928,97221,3.413333,64.173715,64.173715,51.934046,0.000000,8.365393,12.413761,1.916357,1.291396
opt_30b,OPT-30B,cam_llm_s,Cambricon-LLM-S,1000,0.800000,0.798864,-0.142,30000000000.000000,688128000.000000,688128000.000000,1251.778082,1234.230818,17.203200,0.344064,256.000000,2048.000000,624,192,96,336,1251.778082,1234.230818,17.203200,0.344064,30000000000.000000,688128000.000000,688128000.000000,10752000,1251.778082,-0.000000000,0.355219,0.486244,20325.806556,36894.652429,147578.609714,167904.416270,600137799,81303,590314,671617,4,1.000000,600.137799,1234.230818,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,1505840,452797,1.706667,1264.750048,1264.750048,1234.230818,0.000000,0.461335,0.593909,1.731635,1.345094
opt_30b,OPT-30B,cam_llm_m,Cambricon-LLM-M,1000,2.500000,2.315097,-7.396,30000000000.000000,688128000.000000,688128000.000000,431.947322,414.400058,17.203200,0.344064,362.038672,5792.618751,624,192,96,336,431.947322,414.400058,17.203200,0.344064,30000000000.000000,688128000.000000,688128000.000000,10752000,431.947322,0.000000000,0.356072,0.344000,5093.644473,9211.470273,36845.881093,41939.525566,142553620,40749,294767,335516,8,1.000000,142.553620,414.400058,8.000000,365.000000,4098.000000,30000.000000,2050.000000,8,8,2.500000,752530,350662,2.413591,449.573926,449.573926,414.400058,0.000000,1.279062,1.733140,1.809996,1.335782
opt_30b,OPT-30B,cam_llm_l,Cambricon-LLM-L,1000,7.600000,6.743696,-11.267,30000000000.000000,688128000.000000,688128000.000000,148.286643,130.739379,17.203200,0.344064,512.000000,16384.000000,624,192,96,336,148.286643,130.739379,17.203200,0.344064,30000000000.000000,688128000.000000,688128000.000000,10752000,148.286643,0.000000000,0.357304,0.241086,1277.818310,2298.460377,9193.841508,10471.659818,31519442,20445,147101,167546,16,1.000000,31.519442,130.739379,8.000000,513.000000,4098.000000,30000.000000,4098.000000,8,8,2.500000,375982,219622,3.413333,161.721470,161.721470,130.739379,0.000000,3.419110,5.153432,1.972354,1.308583
opt_66b,OPT-66B,cam_llm_s,Cambricon-LLM-S,1000,0.400000,0.350199,-12.450,66000000000.000000,1179648000.000000,1179648000.000000,2855.518406,2825.437382,29.491200,0.589824,256.000000,2048.000000,832,256,128,448,2855.518406,2825.437382,29.491200,0.589824,66000000000.000000,1179648000.000000,1179648000.000000,18432000,2855.518406,0.000000000,0.355219,0.467288,44716.774423,81168.235343,324672.941372,369389.715795,1320294323,178867,1298692,1477559,4,1.000000,1320.294323,2825.437382,8.000000,258.000000,4098.000000,30000.000000,1025.000000,8,8,2.500000,3312852,1062163,1.706667,2895.322272,2895.322272,2825.437382,0.000000,0.201933,0.260117,1.734231,1.346313
