model,platform,operator_group,mapped_engine,work_metric,work_value,latency_ms,overlap_role,notes
opt_6_7b,cam_llm_s,flash_weight_gemv,IFC_READ_COMPUTE,read_compute_requests,4539.430131,272.868052,overlapped_path,tiled weight GeMV handled by in-flash read-compute
opt_6_7b,cam_llm_s,flash_weight_slice_transfer,NPU_READ_SLICE,read_slices,32959.222836,272.868052,overlapped_path,sliced channel transfers for the non-read-compute weight fraction
opt_6_7b,cam_llm_s,effective_weight_stage,controller_overlap,cycle_weight_stage_ms,266.304374,266.304374,selected_path,full-row microcycle-derived flash weight stage after platform efficiency
opt_6_7b,cam_llm_s,attention_state_memory,NPU_DRAM,attention_cache_bytes,262144000.000000,6.553600,sequential_tail,DRAM traffic term for decode-time attention state access
opt_6_7b,cam_llm_s,attention_score_value_compute,NPU,attention_ops,262144000.000000,0.131072,sequential_tail,NPU arithmetic term for decode-time attention score/value work
opt_6_7b,cam_llm_s,total_tpot,combined,tpot_ms,272.989046,272.989046,total,effective_weight_stage + attention_state_memory + attention_score_value_compute
opt_6_7b,cam_llm_m,flash_weight_gemv,IFC_READ_COMPUTE,read_compute_requests,1137.580599,100.404843,overlapped_path,tiled weight GeMV handled by in-flash read-compute
opt_6_7b,cam_llm_m,flash_weight_slice_transfer,NPU_READ_SLICE,read_slices,8228.913444,100.404843,overlapped_path,sliced channel transfers for the non-read-compute weight fraction
opt_6_7b,cam_llm_m,effective_weight_stage,controller_overlap,cycle_weight_stage_ms,92.589160,92.589160,selected_path,full-row microcycle-derived flash weight stage after platform efficiency
opt_6_7b,cam_llm_m,attention_state_memory,NPU_DRAM,attention_cache_bytes,262144000.000000,6.553600,sequential_tail,DRAM traffic term for decode-time attention state access
opt_6_7b,cam_llm_m,attention_score_value_compute,NPU,attention_ops,262144000.000000,0.131072,sequential_tail,NPU arithmetic term for decode-time attention score/value work
opt_6_7b,cam_llm_m,total_tpot,combined,tpot_ms,99.273832,99.273832,total,effective_weight_stage + attention_state_memory + attention_score_value_compute
opt_6_7b,cam_llm_l,flash_weight_gemv,IFC_READ_COMPUTE,read_compute_requests,285.379422,31.420149,overlapped_path,tiled weight GeMV handled by in-flash read-compute
opt_6_7b,cam_llm_l,flash_weight_slice_transfer,NPU_READ_SLICE,read_slices,2053.291270,31.420149,overlapped_path,sliced channel transfers for the non-read-compute weight fraction
opt_6_7b,cam_llm_l,effective_weight_stage,controller_overlap,cycle_weight_stage_ms,25.464742,25.464742,selected_path,full-row microcycle-derived flash weight stage after platform efficiency
opt_6_7b,cam_llm_l,attention_state_memory,NPU_DRAM,attention_cache_bytes,262144000.000000,6.553600,sequential_tail,DRAM traffic term for decode-time attention state access
opt_6_7b,cam_llm_l,attention_score_value_compute,NPU,attention_ops,262144000.000000,0.131072,sequential_tail,NPU arithmetic term for decode-time attention score/value work
opt_6_7b,cam_llm_l,total_tpot,combined,tpot_ms,32.149414,32.149414,total,effective_weight_stage + attention_state_memory + attention_score_value_compute
opt_13b,cam_llm_s,flash_weight_gemv,IFC_READ_COMPUTE,read_compute_requests,8807.849507,535.213522,overlapped_path,tiled weight GeMV handled by in-flash read-compute
opt_13b,cam_llm_s,flash_weight_slice_transfer,NPU_READ_SLICE,read_slices,63950.730876,535.213522,overlapped_path,sliced channel transfers for the non-read-compute weight fraction
opt_13b,cam_llm_s,effective_weight_stage,controller_overlap,cycle_weight_stage_ms,522.327234,522.327234,selected_path,full-row microcycle-derived flash weight stage after platform efficiency
opt_13b,cam_llm_s,attention_state_memory,NPU_DRAM,attention_cache_bytes,409600000.000000,10.240000,sequential_tail,DRAM traffic term for decode-time attention state access
opt_13b,cam_llm_s,attention_score_value_compute,NPU,attention_ops,409600000.000000,0.204800,sequential_tail,NPU arithmetic term for decode-time attention score/value work
opt_13b,cam_llm_s,total_tpot,combined,tpot_ms,532.772034,532.772034,total,effective_weight_stage + attention_state_memory + attention_score_value_compute
opt_13b,cam_llm_m,flash_weight_gemv,IFC_READ_COMPUTE,read_compute_requests,2207.245938,194.815368,overlapped_path,tiled weight GeMV handled by in-flash read-compute
opt_13b,cam_llm_m,flash_weight_slice_transfer,NPU_READ_SLICE,read_slices,15966.548474,194.815368,overlapped_path,sliced channel transfers for the non-read-compute weight fraction
opt_13b,cam_llm_m,effective_weight_stage,controller_overlap,cycle_weight_stage_ms,179.610384,179.610384,selected_path,full-row microcycle-derived flash weight stage after platform efficiency
