model,platform,attention_cache_bytes,attention_ops,dram_attention_ms,npu_attention_compute_ms,controller_weight_stage_ms,tpot_ms,tpot_reconstructed_ms
opt_6_7b,cam_llm_s,262144000.000000,262144000.000000,6.553600,0.131072,266.194869,272.879541,272.879541
opt_6_7b,cam_llm_m,262144000.000000,262144000.000000,6.553600,0.131072,92.554078,99.238750,99.238750
opt_6_7b,cam_llm_l,262144000.000000,262144000.000000,6.553600,0.131072,25.456049,32.140721,32.140721
opt_13b,cam_llm_s,409600000.000000,409600000.000000,10.240000,0.204800,522.112438,532.557238,532.557238
opt_13b,cam_llm_m,409600000.000000,409600000.000000,10.240000,0.204800,179.542343,189.987143,189.987143
opt_13b,cam_llm_l,409600000.000000,409600000.000000,10.240000,0.204800,51.916069,62.360869,62.360869
opt_30b,cam_llm_s,688128000.000000,688128000.000000,17.203200,0.344064,1233.723285,1251.270549,1251.270549
opt_30b,cam_llm_m,688128000.000000,688128000.000000,17.203200,0.344064,414.243055,431.790319,431.790319
opt_30b,cam_llm_l,688128000.000000,688128000.000000,17.203200,0.344064,130.694295,148.241559,148.241559
opt_66b,cam_llm_s,1179648000.000000,1179648000.000000,29.491200,0.589824,2824.275545,2854.356569,2854.356569
opt_66b,cam_llm_m,1179648000.000000,1179648000.000000,29.491200,0.589824,911.270785,941.351809,941.351809
opt_66b,cam_llm_l,1179648000.000000,1179648000.000000,29.491200,0.589824,321.550976,351.632000,351.632000
llama2_7b,cam_llm_s,262144000.000000,262144000.000000,6.553600,0.131072,267.810854,274.495526,274.495526
llama2_7b,cam_llm_m,262144000.000000,262144000.000000,6.553600,0.131072,93.145735,99.830407,99.830407
llama2_7b,cam_llm_l,262144000.000000,262144000.000000,6.553600,0.131072,25.705066,32.389738,32.389738
llama2_13b,cam_llm_s,409600000.000000,409600000.000000,10.240000,0.204800,522.112438,532.557238,532.557238
llama2_13b,cam_llm_m,409600000.000000,409600000.000000,10.240000,0.204800,179.542343,189.987143,189.987143
llama2_13b,cam_llm_l,409600000.000000,409600000.000000,10.240000,0.204800,51.916069,62.360869,62.360869
llama2_70b,cam_llm_s,163840000.000000,1310720000.000000,4.096000,0.655360,2961.372750,2966.124110,2966.124110
llama2_70b,cam_llm_m,163840000.000000,1310720000.000000,4.096000,0.655360,952.763916,957.515276,957.515276
llama2_70b,cam_llm_l,163840000.000000,1310720000.000000,4.096000,0.655360,338.452042,343.203402,343.203402
