metric,value
backend,systemc_component
platform,cam_llm_s
cycle_ns,1.000000
component_module_clock_ns,2.500000
component_issue_width,8
component_queue_depth,8
commands,256
completed_commands,256
events,1536
issue_events,768
complete_events,768
max_active_commands,16
last_event_cycle,316293
last_event_ns,316292.500000
last_event_cycle_rounded_ns,316293.000000
command_address_cycles,7
read_compute_vector_cycles,256
read_slice_data_cycles,4096
array_read_cycles,30000
ifc_compute_cycles,1024
channels,8
chips_per_channel,2
dies_per_chip,2
planes_per_die,2
fabric_issued,768
fabric_completed,768
fabric_busy_violations,0
controller_timing_violations,0
dispatch_cycles,100
issue_backpressure_stalls,0
width_limited_dispatches,3
